Issue Type,Summary,Priority
Bug,[JIRAALIGN-1514] Backlog: MW/TW estimates are not displayed properly in Epics and Capabilities Backlog,Medium
Bug,Forecast: Failed to load release scope,Low
Bug,Epics Time/ Skills Panel: Managing Skill Sets requires users to have the Team > Team > Edit Permission Toggle enabled for their system role,Medium
Bug,Status Report by Program only displays directly assigned Epics,Low
Bug,[JIRAALIGN-1510] Time tracking detailed export report shows OLD billing rates since removed,Medium
Bug,[JIRAALIGN-1509] Forecast: Plan Capacity dialog clears entries after adding buffers,High
Bug,[JIRAALIGN-1508] Program Tracking reloads even without any changes,Medium
Bug,[JIRAALIGN-1507] WSJF: Incorrect calculation where multiple PI's added to an Epic,Medium
Bug,[JIRAALIGN-1506	] Links: User with all permissions for the work item is not able to edit Link,Medium
Bug,[JIRAALIGN-1505] Work Tree fails to load when indicating team as T1 filter.,High
Bug,[JIRAALIGN-1504] Capture takes several minutes to load or never loads at all,Medium
Bug,[JIRAALIGN-1503] Status report bar designs are inconsistency or confusing,Low
Bug,[JIRAALIGN-1502] Status Reports page takes minutes to load or times out with a 504 Error,High
Bug,[JIRAALIGN-1501] Impersonate function takes impersonated user to home page instead of last visited page,Medium
Bug,Reports: Points planned in Points Planned vs. Points Accepted Report are not filtered by the Extra Configs,Low
Bug,[JIRAALIGN-1499] Feature/Capability: List of PI is not limited to parents list on initial creation,Medium
Bug,[JIRAALIGN-1498] Not able to search some dependency,Medium
Bug,[JIRAALIGN-1497] Gateway time-out Error 504 Encountered when generating the Strategy Tree,High
Bug,[JIRAALIGN-1496 ]Program Increment Progress Report: Burn ups and Burn downs use different color schemes on the same page,Low
Bug,[JIRAALIGN-1495] Excel Import: Creating a new Feature/Story/ Test Case or updating an existing Feature/ Story/ Test Case's Owner via the  Excel Import does not set the Owner,Medium
Bug,"[JIRAALIGN-1494] Nulls showing up in ""Release Vehicle"" field on 10.71 test instances",Medium
Bug,[JIRAALIGN-1493] API 2.0 - Update users using PUT doesn't limit the length of the Notes field,Medium
Bug,Daily Stand up and Review Meetings - no option to end meeting with no email,Low
Bug,[JIRAALIGN-1491] Estimation Tool Loses Stories List When Leaving/Returning to Screen,Medium
Bug,"[JIRAALIGN-1490] Jira Settings Beta: ""Jira project name and key"" and ""Jira board and ID"" cache project and board names after changing the Jira Site a connector is tied to",Medium
Bug,[JIRAALIGN-1489] Epic: Slide Out Menu Option Epic Planning Doesn't List PIs in chronological,Medium
Bug,[JIRAALIGN-1488] Invalid value indicated on the ParentID column when importing Capabilities,Medium
Bug,[JIRAALIGN-1487] Multiple objectives are created in Edge,High
Bug,[JIRAALIGN-1486] Goal Types - Edit Strategy type description makes the goal disappear,Medium
Bug,[JIRAALIGN-1485] Release (PI) Scope Change Report only shows Features with child stories from two different programs,Medium
Bug,[JIRAALIGN-1484] Roadmap: Feature bar is shifted on one day when clicking on it,High
Bug,Portfolio Room: Financial Report Partial Stories Aren't Calculating,Low
Bug,Porfolio Room: (Financials Tab) Stories That Move To The Unassigned Backlog Impact Financials By Increasing The Actuals,Low
Bug,"Save Feature shows ""Invalid user input"" - We need a clear message",Low
Bug,OAuth 1.0a utilizing Jira Application Links: Port number on Host URL is not added to OAuth Signature Base String leading to Signature Invalid Error,Low
Bug,"[JIRAALIGN-1479] Roadmap 500 Error: Fails to load when switching to tier one options ""This Year"" causes SQL Timeout (System.Data.SqlClient.SqlException)",High
Bug,[JIRAALIGN-1478] Jira connector is caching the old URL,Low
Bug,[JIRAALIGN-1477] Story gauge on work tree is displaying the wrong calculations,High
Bug,[JIRAALIGN-1476] Disabled Theme Groups are visible in Theme Group dropdown at Theme slide-out details panel,Medium
Bug,[JIRAALIGN-1475] Story Completion Ratio Report: Whoops Error when selecting a team,High
Bug,[JIRAALIGN-1474] Deleting child columns in Kanban boards throws an internal server error,Medium
Bug,"[JIRAALIGN-1473] Dependency: List Filter by work item allows only ""contains"" doesn't display all items when clicking search",Low
Bug,"Strategic Driver Report - Advanced Configuration, Filter by Tag has no effect",Low
Bug,[JIRAALIGN-1471] Features: User can add Additional Programs in Features that have Approach disabled,High
Bug,[JIRAALIGN-1470] Progress by Objective: Filtering by Theme doesn't work,Medium
Suggestion,[JIRAALIGN-1469] Unable to import work items,
Bug,[JIRAALIGN-1468] Detailed Panel Approach: Sync a Feature with a Child Story sharing the same Program from Jira to Jira Align,High
Bug,[JIRAALIGN-1467] Missing program team after creation,Medium
Bug,[JIRAALIGN-1466] Planned Points vs Accepted – Extra Config – Whoops Error when adding teams,High
Bug,"[JIRAALIGN-1465] Split and Drop Report: Column Header - Column Header ""Splits"" overlaps the ""Sprints"" header",Low
Bug,Team Room: Stories in the Sprint board are not ordered by Rank,Low
Bug,[JIRAALIGN-1463] API v2.0 : WHOAMI API call results in 401 errors for non-Super Admin users,High
Bug,[JIRAALIGN-1462] API v2.0 : Executing any API call over Swagger's EXECUTE button results in 401 errors,High
Bug,[JIRAALIGN-1461] Program Tracking: Label is referencing to Capabilities on instance with disabled Capabilities and in Portfolio that has Capabilities disabled,Medium
Bug,[JIRAALIGN-1460] Program Teams: For non-Super admin user on;y first 150 Members of program team appear in Members tab,High
Bug,[JIRAALIGN-1459] Days/Time left in Team Room is not taking into account the current day,Medium
Bug,Feature work item description issue,Low
Bug,[JIRAALIGN-1457] Backlog: Time in Process Step/Value Stream displays incorrect Time in Process Step when the Process step was set on initial creation,Medium
Bug,[JIRAALIGN-1456] Admin -> Portfolio view completely restricts access to all portfolios to some users,High
Bug,"[JIRAALIGN-1455] Roadmap: Apostrophe in owner name in Apply filters is displayed as ""\u0027"" code",Medium
Bug,"[JIRAALIGN-1454] Platform settings tool tip on Value Engineering should specify Epic, Features and Capabilities",Low
Bug,[JIRAALIGN-1453] Progress bar in work tree (theme group view) report is not working,Medium
Suggestion,Pull Rank: Unclear Verbiage on Prioritize Work Items in Backlog For External Jira Teams,
Bug,[JIRAALIGN-1451] Reports:  Story Link Report  Not Rendering Correct Data,High
Bug,[JIRAALIGN-1450] JA and Jira description limit,Medium
Bug,"[JIRAALIGN-1449] Roadmaps - User list drop down takes 30 seconds to several minutes to load when attempting to use the ""Owned By"" filter",High
Bug,[JIRAALIGN-1448] Strategic Backlog: Stand-Alone Features are displayed in the Epics list,Medium
Bug,[JIRAALIGN-1447] Backlog: Time in Process Step/Value Stream displays N/A when the Process step was set on initial creation,Medium
Bug,[JIRAALIGN-1446] No input option in Roadmap filter by Product,Medium
Bug,[JIRAALIGN-1445] Deleting a team of a Program affects T1 filter for sprints,Highest
Bug,[JIRAALIGN-1444] Weighted Shortest Job First (WSJF) - Calculations: Formula for WSJF is missing Parentheses,Low
Bug,[JIRAALIGN-1443] Some work tree items fails to load.,High
Bug,[JIRAALIGN-1442] TFS/ ADO Connector- OAuth Authentication Area Path Setup: Scope Path and Iteration Path Setup: Scope Path still apply after changing the connector from Single Project to Multiple Project,Medium
Suggestion,Create a Release Vehicle for an Actual Release to Market Article is unclear,
Bug,[JIRAALIGN-1440] Advanced Configurations Gear Cog is not Blue on all Pages when a Filter is Set,Medium
Bug,[JIRAALIGN-1439] Fast Track: SSO & Jira Connector Authentication Error (Whoops Message),High
Bug,[JIRAALIGN-1438] Program Room can Take up to 30 or more seconds to load,High
Bug,"[JIRAALIGN-1437] Filtering by OWNER, in Roadmaps page, throws exception when retrieving list of users",High
Bug,[JIRAALIGN-1436] Edit framework view can be directly accessed via url,High
Bug,[JIRAALIGN-1435] Import/Export: Rank that was set in the import file is not applied/and small cosmetic issue,Medium
Bug,[JIRAALIGN-1434] Status Reports: Stoplight disappears after updating the status of any work item,Medium
Bug,[JIRAALIGN-1433] Platform terminology ID issue,Medium
Bug,[JIRAALIGN-1432] Jira and Jira Align Integration: There is not a method to avoid syncing the child sub-tasks of integrated stories,Medium
Bug,[JIRAALIGN-1431] Status report stats are labeled based on Project,Medium
Bug,Strategic Driver allocation Report -  stories are counted that are not accepted in actuals reportng ,Medium
Bug,[JIRAALIGN-1429] Escalations toggle is blank,Medium
Bug,[JIRAALIGN-1428	] Dependency Map: Legend on Wheel view is not correct,Medium
Bug,[JIRAALIGN-1427] Status Report: Filter by Tags does not work on status reports,High
Bug,[JIRAALIGN-1426] Objectives: Manage Portfolio Objectives Still Allows Users To Associate The Wrong Work Item,Medium
Bug,[JIRAALIGN-1425] Imported Users Can't Access Associated Checklist,High
Bug,[JIRAALIGN-1424] Objectives: '&' in Release Name is populated as HTML code,Medium
Bug,[JIRAALIGN-1423] Export: '&' in Assigned teams field is populated as HTML code,Medium
Bug,[JIRAALIGN-1422] Program Board: External Dependencies are not filtered by Extra Configs>Epic filter,Medium
Bug,[JIRAALIGN-1421] Users can add multiple acceptance criteria when synced to Jira,Medium
Bug,[JIRAALIGN-1420] Work Tree: State and Type icon doesn't appear for multiprogram Capabilities,Medium
Bug,Jira Align Admin > Jira Management > Jira Boards: Filtering by Board ID on some Boards cannot find the searched Board,Medium
Bug,[JIRAALIGN-1418] The Program Team Owner (PTO) field persists on Dependencies even though the Program Team Owner (PTO) field has been removed from Programs,Medium
Bug,[JIRAALIGN-1417] Cannot Select Program Increment when Creating a Risk under a Portfolio Objective,Medium
Bug,Teams: Grid is not filtered when selecting an Agile Team in Tier 1,Low
Bug,[JIRAALIGN-1415] Program Board Quick View Team Target Completion Sprint grayed out after adding Team,Low
Bug,[JIRAALIGN-1414] Theme's state ID is displayed in portfolio room,Medium
Bug,[JIRAALIGN-1413] Quick Create button : Creating a Story from Template lands user at the Story grid instead of the current page,Low
Bug,A Goal's Name can only be defined / updated using the Description Field,Low
Bug,"[JIRAALIGN-1411] Jira Align and Jira Integration: The Jira Connector does not adhere to Initial Sprint Start Date when a customers API Gateway or Proxy truncates ""startAt"" query parameters",Medium
Bug,[JIRAALIGN-1410] Program Board: Dependency from Kanban Team to Agile team doesn't appear on Agile Teams Program Board,Medium
Bug,Time stamps discrepancy ,Low
Bug,[JIRAALIGN-1408] Backlog: Epic progress/Epic Story points and Feature progress/Feature Story points values are using different calculation algorithms,Medium
Bug,Program Tracking report stalled action items are not filtering based on Tier 1 selections,Medium
Bug,"Time Tracking: Associate Work Code with <Release Vehicle> toggle is displayed as editable one, while a user is not actually able to turn it off",Low
Bug,[JIRAALIGN-1405] Roadmap: Rank Column in Epic by Theme view is useless,Low
Bug,[JIRAALIGN-1404] Value Streams: Exit criteria are reordered upon saving,Medium
Bug,[JIRAALIGN-1403] Teams: Teams Export is limited to 1000 records,Medium
Bug,[JIRAALIGN-1402] Program Board: Features of 'Supporting' type are not shown on Program Board,Medium
Bug,[JIRAALIGN-1401] Work in Process by State > Lean Metrics > Lead Time utilizes incorrect formulas for Epics,Medium
Bug,[JIRAALIGN-1400] Last Location Logic: System isn't redirecting users to the last page that was visited prior to log out,Medium
Bug,[JIRAALIGN-1399] Jira Management: Filtering the Jira Boards by ID results in logout,Low
Bug,[JIRAALIGN-1398] Strategic Backlog: Epics and Themes aren't filtered by the Snapshot,Medium
Bug,[JIRAALIGN-1397] Impediments: Inconsistencies in Email notifications,Medium
Bug,[JIRAALIGN-1396] Epics: Enabling the Value Tab on Epics force both Value Hypothesis and Scorecard,Medium
Bug,[JIRAALIGN-1395] Whoops screen error in Ideation grid,High
Bug,[JIRAALIGN-1394] Scope Change Report: Scope Change Line Isn't Accurate Based On Total Point,High
Bug,[JIRAALIGN-1393] Running Team Meetings Is Causing A 500 Error,High
Bug,[JIRAALIGN-1392] Roadmap failed to load when filtered by Feature,Medium
Bug,[JIRAALIGN-1391] User can't access ideation portal,High
Bug,[JIRAALIGN-1390] Program Room: Feature and Story misalignment is causing readability issues,Medium
Bug,[JIRAALIGN-1389] Corrupted File: 100 - 500 Features or Epics exported from grids,High
Bug,[JIRAALIGN-1388] Control Report (504): When Large Sets of Data Is Tied To A Portfolio & The Control Report Is Ran We Hit A 504 Error,High
Bug,Sprint: Sprints aren't started and ended automatically. ,Medium
Bug,[JIRAALIGN-1386] Backlog: Themes list is not filtered by Strategic Snapshot from Tier 1 configuration,Medium
Bug,Unable to change Team type due to Rally Connector inserting long Project Name as Sprint prefix,Low
Bug,[JIRAALIGN-1384] Kanban: Move to menu lists column descriptions instead of column names,Medium
Bug,[JIRAALIGN-1383] HOTFIX - A snapshot in strategy room doesn't load properly if linked to a specific Objective/Goals.,Highest
Bug,[JIRAALIGN-1382] Work in process by value stream fails to load,Medium
Bug,[JIRAALIGN-1381] Terminology Tooltips not updated in left nav menu,Medium
Bug,"[JIRAALIGN-1380] When using ""All"" view on Dependencies page, the view is reset to ""Your Requests"" when clicking Next, First, or Last",Medium
Bug,[JIRAALIGN-1379] Roadmap: Objectives that are tied to Epic don't appear in Epic by Theme view,Medium
Bug,[JIRAALIGN-1378] Story Progress Bar: When all task are complete users see 0% done even though all task are complete (due to no task hours associated),High
Bug,[JIRAALIGN-1377] Pull Rank For Story Unassigned Backlog Not Syncing,Medium
Bug,[JIRAALIGN-1376] Portfolio Room - Theme Burnup Chart takes a long time to load or fails to load completely,High
Bug,[JIRAALIGN-1375] Team Room takes 20 seconds or more to load,Medium
Bug,[JIRAALIGN-1374] Launchpad: Terminology for goals is not reflected in the Sandbox terminology helper and in Workflow title,Medium
Bug,[JIRAALIGN-1373] Launchpad: Idea term is displayed in the singular when referencing to plural,Medium
Bug,[JIRAALIGN-1372] Launchpad: Reference brackets for 'Personas' don't pull from platform terminology or Sandbox terminology helper,Medium
Bug,[JIRAALIGN-1371] Copy Role is throwing an error,High
Bug,[JIRAALIGN-1370] Timesheet Approve All failed,High
Bug,[JIRAALIGN-1368] Defining a Strategic Snapshot in Tier 1 menu's Advanced Configuration prevents Strategy Room Content from Loading,Medium
Bug,[JIRAALIGN-1367] Favorites list does not honor terminology changes to Features,Medium
Bug,[JIRAALIGN-1366] Admin: Create People names with apostrophes show up with incorrect formatting,Medium
Bug,[JIRAALIGN-1365] Capabilities: 500 Error when opening Status Report.,Medium
Bug,[JIRAALIGN-1364] Roadmaps : User gets logged off when accessing Roadmaps page,Medium
Bug,[JIRAALIGN-1363] Permission to access Admin >Email is tied to Admin > Announcements Permission Toggle also being on,Medium
Bug,"[JIRAALIGN-1362] Time Tracking : Timesheet Export throws error ""Operation is not allowed when the object is closed."" in the export file",High
Bug,[JIRAALIGN-1361] Jira Align and Jira Integration: The Jira Connector is searching for updates in Jira for a shorter time frame than the time since the connector last queried Jira for updates leading to missed updates,Medium
Bug,[JIRAALIGN-1360] Work Tree: Strategy view not loaded when accessing Work tree for the first time,High
Bug,[JIRAALIGN-1359] Backlog: Epics from unassigned backlog aren't listed in Orphan Objects,Medium
Bug,Strategy Room - UI shows scroll on goal items,Low
Bug,[JIRAALIGN-1357] Ideation: External user with deactivated access to Portal can access it.,High
Bug,[JIRAALIGN-1356] Strategy Management/Strategic Backlog: page name in Nav menu doesn't match page title,Medium
Bug,[JIRAALIGN-1355] Framework Maps: Moving mouse pointer away from image cutter closes Image selection dialog,Medium
Bug,[JIRAALIGN-1354] Defects: Error about blank Team field doesn't allow user to create a Defect,Medium
Bug,[JIRAALIGN-1353] Dependency: Cross PI dependency doesn't appear in the Dependencies grid when filtering it by Depends on Program and PI,Medium
Bug,[JIRAALIGN-1352] Custom Fields: User is allowed to create Custom fields with same titles,Medium
Bug,[JIRAALIGN-1351] Program Team Name Not Updated In Team Grid,Medium
Bug,[JIRAALIGN-1350] Drop Down User List Takes A Very Long Time To Load As Companies Scale (Active User Count 10K +)[JIRAALIGN-1350],Medium
Bug,[JIRAALIGN-1349] Status Reports: Some of the special characters are displayed as HTML code in the Report title,Medium
Bug,[JIRAALIGN-1348] Modifying Fix Version Dates (begin & end) don't sync correctly via the connector [Missing End Date Modification],Medium
Bug,[JIRAALIGN-1347] Capability is not listed under the Lean Metrics Section of Work in Process by State / Value Stream,Medium
Bug,[JIRAALIGN-1346] Custom System Role Doesn't Have Access To Create or View Shared Checklist,High
Bug,"[JIRAALIGN-1345] Team Room - Story points, when modified, do not dynamically update in the Story list",Medium
Bug,[JIRAALIGN-1344] Maximum Allowed Customers Inconsistent Between Features and Epic Slide Outs,Medium
Bug,[JIRAALIGN-1343] All sprints are selected by default in story backlog,Medium
Bug,[JIRAALIGN-1342] Review duplicate users in teams.,Medium
Bug,[JIRAALIGN-1341] Status Reports: Apostrophe is duplicated in Health comments,Low
Bug,Objectives: Portfolio Objective created through Import are corrupted,Low
Bug,Objectives: Team is required for Program Objective import,Low
Bug,[JIRAALIGN-1338] Idea details page wont load properly in subsequent pages,Medium
Bug,[JIRAALIGN-1337] Strategic Driver Allocation Report - Bad Formating in Strategic Driver Column,Medium
Bug,[JIRAALIGN-1336] Updates to the Strategy Items trim the Description to 100 characters,Medium
Bug,Dependency: User is able to select Agile team without Sprints as Depends on/Requesting when editing Dependency.,Low
Bug,RV Roadmap: Incorrect behavior for Consolidated RV's,Medium
Bug,[JIRAALIGN-1333] Duplicate users are displayed on Team Member dropdown list.,High
Bug,[JIRAALIGN-1332] Work Tree View Selected not obvious from main view,Medium
Bug,[JIRAALIGN-1331] Work Tree Team View Doesn't Filter By PI,Medium
Bug,Work Tree Product Filter Tier One Doesn't Render Correct Data Results,Low
Bug,[JIRAALIGN-1329] Unable to filter story with unassigned sprint in story backlog,Medium
Bug,[JIRAALIGN-1328] Defects cannot be saved when Team toggle is set as required in Details panel settings,Highest
Bug,[JIRAALIGN-1327] Jira to Jira Align sync: Jira Epic that has been Resolved and is in the Done Status stops syncing with Jira Align Feature,Medium
Bug,[JIRAALIGN-1326] Sprint Status: Points completed line doesn't provide enough value.,Medium
Bug,[JIRAALIGN-1325] Roadmap: Feature by Epic view is not loading data,High
Bug,Unable to load chat under the Team Room,Low
Bug,"[JIRAALIGN-1323] Value Streams : DEVELOPMENTAL STEPS is mentioned in several pages despite ""Enable Developmental Value Streams"" is OFF",Low
Bug,"Value Streams : OPERATIONAL STEPS is mentioned in several pages despite ""Enable Operational Value Streams"" is OFF",Low
Bug,Value Streams : Rename PROCESS STEP column (at Backlog/Feature page) to DEVELOPMENTAL STEP,Low
Bug,Jira Align Iteration Status Report - Inconsistent Verbiage,Low
Bug,Work Tree View Doesn't Filter By Product In Tier One,Low
Bug,[JIRAALIGN-1318] Feature Audit Report: State Change Dates Not Displayed On Grid,Medium
Bug,[JIRAALIGN-1317] Feature associated to a Risk is not interactive in slide out,Medium
Bug,User Time Outs should take users to the Sign Out URL configured under Jira Align Admin > Platform > Security,Low
Bug,Defects JA to Jira Sync(Jira Server): Generic Jira Align User is not set as a Reporter,Low
Bug,[JIRAALIGN-1314] (ERROR 504 Gateway time-out) when attempting to trace an Epic with lots of data associated with it,Medium
Bug,[JIRAALIGN-1313] Unassigned Backlog Rank Not Consistent When Features are Ranked In Unassigned Backlog,High
Bug,[JIRAALIGN-1312] Sprint Scope Changes Report Fails to Load,High
Bug,"Epic: Add Risk, Objective, Dependency is visible on Epic form for the user that has disabled Add permission for respective items",High
Bug,Backlog Kanban View: Incorrect tooltip for Points loaded,Low
Bug,Jira Connector should not reinstate the child-parent link that was removed in Jira Align,Low
Bug,[JIRAALIGN-1308] Objectives Tree: Filtering by PI doesn't work,Medium
Bug,[JIRAALIGN-1307] Planned vs Earned Velocity Report Is Showing The Same Report For All Sprints,High
Bug,"When clicking the ""i"" on the allocation for sprint members; the pop-up doesn't display any data",Medium
Bug,Team Room failed to load,High
Bug,"[JIRAALIGN-1304] Long-Term Goal Creation - The space between ""Parent"" and colon is confusing.",Low
Bug,Import template and Export Formats do not match,Low
Bug,Azure DevOps: OAuth default Project Team membership above 100 leads to work item owner fields syncing as unassigned,Highest
Bug,[JIRAALIGN-1301] public ideas portal still uses Agliecraft logo,High
Bug,[JIRAALIGN-1300] Objectives: User is not able to update Key results,High
Bug,[JIRAALIGN-1299] Unable to load chat in team room,High
Bug,[JIRAALIGN-1298] Dependency allows you to see a successful save toaster despite required fields being empty,High
Bug,Additional Program Features Not Showing Values On The Feature Grid,Low
Bug,Master Toggle (25) is controlling the Approach setting incorrectly,Low
Bug,[JIRAALIGN-1295] Strategy room: Progress charts not aligned when using custom terminology,Medium
Bug,"Please change the ""Product Mix"" permission toggle to something more intuitive",Low
Bug,[JIRAALIGN-1293] Sprint Status Report: Task type icons should differ depending on the task type,Medium
Bug,Features: User is able to add Multi-program Features in Program that has Approach disabled,High
Bug,"[JIRAALIGN-1291] Work Tree > Strategy View ""Show Parent Level"" toggle does not remain disabled if disabled by a user",Medium
Bug,PIP Burn Up Not Showing One Day off for the begin and end of the PI dates,Low
Bug,WIP by State/Step: Incorrect counts in charts,Low
Bug,[JIRAALIGN-1288] Kanban: It is impossible to add user with alphanumeric UID to the members of Kanban Board,High
Bug,[JIRAALIGN-1286] Start/finish dates do not persist when creating a new Release,Medium
Bug,[JIRAALIGN-1285] Portfolio names can be modified to an existing portfolio name.,Low
Bug,[JIRAALIGN-1284] A user is assigned several times in a sprint,High
Bug,[JIRAALIGN-1283] Unassigned backlog slide-out window closes when applying rank,Medium
Bug,Jira Connector - IP Sprints are treated the same as regular Sprints,Low
Bug,[JIRAALIGN-1281] (ERROR 504 Gateway time-out) when attempting to search the Administration -> Changes page,High
Bug,[JIRAALIGN-1280] WIP by State/Step: Cosmetic changes,Medium
Bug,Stories associated with different Program Increments affects the points remaining numbers in the Epic Planning Report burndown,Low
Bug,[JIRAALIGN-1278] Platform Terminology: Changes not reflected in search,Medium
Bug,[JIRAALIGN-1277] Ideation: 500 error thrown when accessing public URL,High
Bug,Feature: It's possible to misalign PI on Feature with PI on its parent Epic,Low
Bug,[JIRAALIGN-1275] Project Attribute Report doesn't show ALL Release Vehicles,Medium
Bug,"Forecast - ""Hide Empty Rows and Columns"" not working as expected",Low
Bug,[JIRAALIGN-1273] Release Progress: Burnup chart>Scope is the same for Burnup by Features and Burnup by Stories,High
Bug,[JIRAALIGN-1272] Jira Management: Deleting a sprint causes a spinning wheel that never stops,Medium
Bug,[JIRAALIGN-1271] A particular Epic is displayed as a capability,Medium
Bug,[JIRAALIGN-1270] Tags getting lost on promotion of work items,Medium
Bug,[JIRAALIGN-1269] Checklist: User is not able to turn Use Video/Ext Link option off,Medium
Bug,JIRAALIGN-1268] Checklist: External video Links not supported,Medium
Bug,[JIRAALIGN-1267] Portfolio Rank (feat. toggle 43): Column Shown for Capability doesn't have a rank which Is Incorrect,High
Bug,Jira Align Connector does not allow duplicate Jira Board IDs (and Boards are in different Jira environments) ,Low
Bug,Jira Project not copied when copying a Feature,Low
Bug,[JIRAALIGN-1264] Roles: Several toggles have no effect on User permissions and don't affect anything at all,Medium
Bug,[JIRAALIGN-1263] Work Tree: Tier 1 tag filter is reset only after the re-accessing page,Medium
Bug,[JIRAALIGN-1262] Backlog: Filtering the unassigned backlog prevents users from clicking and dragging work items in the unassigned backlog to a Program Increment,Medium
Bug,[JIRAALIGN-1261] Dependency: Depends on team is not able to select Story from its PI/Program,High
Bug,"[JIRAALIGN-1260] Opening a new epic on the backlog , nests inside another epic slide out",Medium
Bug,Jira Align is unable to request batches of more than 200 work items changes from Azure Dev Ops when utilizing OAuth for Authentication,High
Bug,[JIRAALIGN-1258] Release: PI is not getting deleted when all related data was deleted,Medium
Bug,[JIRAALIGN-1257] Dependencies: Kanban Team Dependencies are excluded from Filtered results when filtering by Needed by,Medium
Bug,[JIRAALIGN-1256] Backlog: Pull Rank from Capabilities is not available for Features.,Medium
Bug,[JIRAALIGN-1255] Backlog: Pull Rank is not available for Capabilities in the Program view,Medium
Bug,[JIRAALIGN-1254] Reports: Sprint Metrics(M1) and Sprint Coaching are displaying different values,Low
Bug,Portfolio room: Points>Open Text field estimation system is not supported.,Low
Bug,[JIRAALIGN-1252] Investment vs Actual: Report not filtering by Portfolio / Program,Medium
Bug,[JIRAALIGN-1251] Sprints: User is not informed that when moving Sprint from one PI to another Sprint is mapped to very first Anchor from new PI,Medium
Bug,[JIRAALIGN-1250] Kanban Boards: Cumulative Flow Select Date Start Date & End Date Crashes Report,High
Bug,[JIRAALIGN-1249] Cumulative Flow Diagram Lean Metics: Not Calculating Kanban Board Column Types Correctly,High
Bug,Feature: JiraAlign does not show Story Points for Features,Low
Bug,[JIRAALIGN-1247] 500 internal error in TeamGrid,Medium
Bug,[JIRAALIGN-1246] Orphan Story Counts Don't Align In Various Locations - Backlog & Program Room,High
Bug,[JIRAALIGN-1245] Snapshots - Email Notifications are not sent if Epic Budgets exceed Funding Approval Rules,Medium
Bug,[JIRAALIGN-1244] Team weeks and other numbers are not in number format on the Excel Program Epic export,Medium
Bug,"[JIRAALIGN-1243] JIRA DELETED ISSUES REPORT: Report not showing Dozens of project issues that still exist Jira Align, even though the project is no longer mapped",High
Bug,PROGRAM ROOM - TEAM LOAD CALCULATION - Need Clearer Explanations in team load Pop-Ups,Low
Bug,[JIRAALIGN-1241] PROGRAM ROOM: TEAM LOAD CALCULATION: Wrong calculation - based on average sprint velocity - not override velocity,Medium
Bug,Team of Teams/Scrum of Scrum Meeting: active Release is shown as not active after running a meeting,Low
Bug,[JIRAALIGN-1239] Announcements: Expired Announcements shown on SSO Error page,High
Bug,[JIRAALIGN-1238] Roadmaps: Formatting Errors on Tooltip when scrolling over Roadmap Objective Flag,Medium
Bug,"Jira Align and Jira Integration: JQL Searches for Jira Issue [""changelog""] leads to Gateway Timeouts",Medium
Bug,[JIRAALIGN-1236] Deleting A Process Step Causes Story Card To Disappear On The Process Step Backlog View,Low
Bug,[JIRAALIGN-1235] Admin -> Portfolio view does not restrict the list of portfolios per the logged in user,High
Bug,Team Lean Metrics on Work In Process Report: Doesn't Scope To Lean Team Metrics,Medium
Bug,"Progress By Objective Burndown Labels incorrectly use ""Points""",Low
Bug,[JIRAALIGN-1232] Program Tracking: Report doesn't list all Risks,Low
Bug,[JIRAALIGN-1231] Scope Change: Removed Features doesn't appear in the report,Highest
Bug,Stories: Time Stamps in Export are confusing,Low
Bug,Portfolio Room: Extra Configs dialog is broken,Low
Bug,[JIRAALIGN-1228] Epics: Additional Programs list is updated incorrectly when child Capability additional Program is set as Epics Primary Program,Medium
Bug,[JIRAALIGN-1227] Features: Budget for Feature that is not Stand-alone anymore still populated,Medium
Bug,Abbreviated Team Names Don't Show On Dependency Tile For The Program Room,Low
Bug,[JIRAALIGN-1225] EOF exception in EpicGrid,Medium
Bug,Kanban Teams: Anchor Dates Panel only shows Anchor Sprints that have an end date after the created date of the Team,Medium
Bug,[JIRAALIGN-1223] Dependency: Cross Program/PI Kanban to Agile team dependency should show up on the program board for the responding team,High
Bug,[JIRAALIGN-1222] Administration: Super Admin should not be able to drop Administration privilages,High
Bug,[JIRAALIGN-1221] Administration: Master Administration toggle stays active when all sub toggles are deactivated,Medium
Bug,[JIRAALIGN-1220] Developer Team Role Can't Modify Acceptance Criteria When Story Is In Unassigned Backlog,Medium
Bug,[JIRAALIGN-1219] Defect: Notify isn't sending emails to the associated users,High
Bug,"[JIRAALIGN-1218] JQL Preview includes ""ORDER BY"" in UI but not the actual JQL ran against Jira",Medium
Bug,[JIRAALIGN-1217] Closing a Sprint in Jira and moving stories to Unassigned Backlog does not Change the Jira Align Story's sprint to Unassigned Backlog,Medium
Bug,"[JIRAALIGN-1216] Roadmap column ""State"" ordering should be based on flow sequence rather than 1st character of State name",Medium
Bug,[JIRAALIGN-1215] Wrong calculation in Theme Effort vs Value points in portfolio room,Low
Bug,Selecting Team as Tier 1 filter is not working in Risks grid.,Low
Bug,"[JIRAALIGN-1213] Setting the PI Configuration Bar to ""Select:"" sometimes results in work items in the Unassigned Backlog for PI being Filtered Out of the Work Item Grids for Non Super Admin Users",High
Bug,[JIRAALIGN-1212] Status Of Team Experiments: Prior Iteration Experiments / Actions from legacy sprints can not be marked Done or Abandoned,Low
Bug,Import doesn't complete/error when invalid program or release values included,Medium
